Andamios,TiempoRenta,Costo,
1,1 dia,300,300
1,2 dias,300,300
1,3 dias,300,300
1,4 dias,400,400
1,5 dias,500,500
1,1 semana,400.057,400
1,8 dias,440,440
1,9 dias,495,495
1,10 dias,550,550
1,11 dias,605,605
1,12 dias,660,660
1,13 dias,715,715
1,2 semanas,800.1,800
1,3 semanas,1050,1050
1,1 mes,900,900
2,1 dia,300,300
2,2 dias,400,400
2,3 dias,600,600
2,4 dias,800,800
2,5 dias,1000,1000
2,1 semana,800.03,800
2,8 dias,880,880
2,9 dias,990,990
2,10 dias,1100,1100
2,11 dias,1210,1210
2,12 dias,1320,1320
2,13 dias,1430,1430
2,2 semanas,1600.2,1600
2,3 semanas,2100,2100
2,1 mes,1800,1800
3,1 dia,300,
3,2 dias,600,
3,3 dias,900,
3,4 dias,1200,
3,5 dias,1500,
3,1 semana,1050,
3,8 dias,1200,
3,9 dias,1350,
3,10 dias,1500,
3,11 dias,1650,
3,12 dias,1800,
3,13 dias,1950,
3,2 semanas,1575,
3,3 semanas,1890,
3,1 mes,2700,
4,1 dia,400,
4,2 dias,800,
4,3 dias,1200,
4,4 dias,1600,
4,5 dias,2000,
4,1 semana,1400,
4,8 dias,1600,
4,9 dias,1800,
4,10 dias,2000,
4,11 dias,2200,
4,12 dias,2400,
4,13 dias,2600,
4,2 semanas,2100,
4,3 semanas,2520,
4,1 mes,3600,
5,1 dia,500,
5,2 dias,1000,
5,3 dias,1500,
5,4 dias,2000,
5,5 dias,2500,
5,1 semana,1750,
5,8 dias,2000,
5,9 dias,2250,
5,10 dias,2500,
5,11 dias,2750,
5,12 dias,3000,
5,13 dias,3250,
5,2 semanas,2625,
5,3 semanas,3150,
5,1 mes,4500,
6,1 dia,600,
6,2 dias,1200,
6,3 dias,1800,
6,4 dias,2400,
6,5 dias,3000,
6,1 semana,2100,
6,8 dias,2400,
6,9 dias,2700,
6,10 dias,3000,
6,11 dias,3300,
6,12 dias,3600,
6,13 dias,3900,
6,2 semanas,3150,
6,3 semanas,3780,
6,1 mes,5400,
7,1 dia,700,
7,2 dias,1400,
7,3 dias,2100,
7,4 dias,2800,
7,5 dias,3500,
7,1 semana,2450,
7,8 dias,2800,
7,9 dias,3150,
7,10 dias,3500,
7,11 dias,3850,
7,12 dias,4200,
7,13 dias,4550,
7,2 semanas,3675,
7,3 semanas,4410,
7,1 mes,6300,
8,1 dia,800,
8,2 dias,1600,
8,3 dias,2400,
8,4 dias,3200,
8,5 dias,4000,
8,1 semana,2800,
8,8 dias,3200,
8,9 dias,3600,
8,10 dias,4000,
8,11 dias,4400,
8,12 dias,4800,
8,13 dias,5200,
8,2 semanas,4200,
8,3 semanas,5040,
8,1 mes,7200,
9,1 dia,900,
9,2 dias,1800,
9,3 dias,2700,
9,4 dias,3600,
9,5 dias,4500,
9,1 semana,3150,
9,8 dias,3600,
9,9 dias,4050,
9,10 dias,4500,
9,11 dias,4950,
9,12 dias,5400,
9,13 dias,5850,
9,2 semanas,4725,
9,3 semanas,5670,
9,1 mes,8100,
10,1 dia,1000,
10,2 dias,2000,
10,3 dias,3000,
10,4 dias,4000,
10,5 dias,5000,
10,1 semana,3500,
10,8 dias,4000,
10,9 dias,4500,
10,10 dias,5000,
10,11 dias,5500,
10,12 dias,6000,
10,13 dias,6500,
10,2 semanas,5250,
10,3 semanas,6300,
10,1 mes,9000,
11,1 dia,1100,
11,2 dias,2200,
11,3 dias,3300,
11,4 dias,4400,
11,5 dias,5500,
11,1 semana,3850,
11,8 dias,4400,
11,9 dias,4950,
11,10 dias,5500,
11,11 dias,6050,
11,12 dias,6600,
11,13 dias,7150,
11,2 semanas,5775,
11,3 semanas,6930,
11,1 mes,9900,
12,1 dia,1200,
12,2 dias,2400,
12,3 dias,3600,
12,4 dias,4800,
12,5 dias,6000,
12,1 semana,4200,
12,8 dias,4800,
12,9 dias,5400,
12,10 dias,6000,
12,11 dias,6600,
12,12 dias,7200,
12,13 dias,7800,
12,2 semanas,6300,
12,3 semanas,7560,
12,1 mes,10800,
